pickup_borough,pickup_zone_name,route_borough,route_zone_name,no_trips
Manhattan,SoHo,Manhattan-Bronx,SoHo-Westchester Village/Unionport,17
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Midtown East,8500
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Stapleton,5
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Two Bridges/Seward Park,6153
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Sutton Place/Turtle Bay North,4377
Manhattan,SoHo,Manhattan-Bronx,SoHo-Riverdale/North Riverdale/Fieldston,91
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Madison,35
Manhattan,SoHo,Manhattan-Bronx,SoHo-Country Club,9
Manhattan,SoHo,Manhattan-Queens,SoHo-Kew Gardens Hills,25
Manhattan,SoHo,Manhattan-Bronx,SoHo-Pelham Bay,11
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Clinton West,4104
Manhattan,SoHo,Manhattan-Queens,SoHo-Rosedale,5
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Randalls Island,30
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Morningside Heights,955
Manhattan,SoHo,Manhattan-Manhattan,SoHo-East Village,33216
Manhattan,SoHo,Manhattan-Queens,SoHo-Oakland Gardens,9
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Central Harlem,886
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Clinton Hill,2454
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Prospect-Lefferts Gardens,680
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Carroll Gardens,1273
Manhattan,SoHo,Manhattan-Bronx,SoHo-Allerton/Pelham Gardens,6
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Kips Bay,5639
Manhattan,SoHo,Manhattan-Queens,SoHo-Forest Hills,368
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Marble Hill,7
Manhattan,SoHo,Manhattan-Manhattan,SoHo-SoHo,12852
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Central Park,2578
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Park Slope,3341
Manhattan,SoHo,Manhattan-Bronx,SoHo-Pelham Parkway,34
Manhattan,SoHo,Manhattan-Queens,SoHo-Middle Village,113
