pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
EWR,7/4/16,Thursday,1,1
Staten Island,16/4/16,Saturday,2,1
EWR,17/5/16,Tuesday,16,2
EWR,11/5/16,Wednesday,20,1
Bronx,22/5/16,Sunday,10,8
EWR,28/6/16,Tuesday,14,2
Bronx,3/3/16,Thursday,4,7
Staten Island,15/3/16,Tuesday,19,1
Bronx,23/2/16,Tuesday,2,6
Staten Island,19/5/16,Thursday,19,4
Staten Island,18/3/16,Friday,9,3
Bronx,7/2/16,Sunday,6,10
Bronx,10/4/16,Sunday,23,25
Bronx,1/6/16,Wednesday,12,14
Bronx,25/3/16,Friday,14,16
Staten Island,2/6/16,Thursday,11,1
Bronx,2/4/16,Saturday,16,9
Bronx,7/4/16,Thursday,18,10
Staten Island,24/1/16,Sunday,12,1
EWR,13/5/16,Friday,13,2
Bronx,30/3/16,Wednesday,3,7
Bronx,7/2/16,Sunday,4,26
EWR,8/3/16,Tuesday,13,1
EWR,23/6/16,Thursday,17,1
Staten Island,2/5/16,Monday,7,2
EWR,13/5/16,Friday,18,2
EWR,27/2/16,Saturday,10,1
EWR,5/4/16,Tuesday,10,1
Staten Island,9/2/16,Tuesday,1,2
Staten Island,12/2/16,Friday,14,1
Bronx,4/5/16,Wednesday,2,9
Bronx,24/2/16,Wednesday,18,14
EWR,29/2/16,Monday,15,1
Staten Island,9/6/16,Thursday,9,1
Bronx,14/2/16,Sunday,7,9
Staten Island,19/5/16,Thursday,13,4
EWR,20/1/16,Wednesday,15,6
Bronx,14/1/16,Thursday,12,2
Bronx,8/4/16,Friday,1,17
Bronx,28/2/16,Sunday,5,23
Bronx,23/4/16,Saturday,4,40
Bronx,4/6/16,Saturday,21,29
Bronx,21/3/16,Monday,5,6
Bronx,19/2/16,Friday,0,25
Staten Island,4/2/16,Thursday,0,1
Bronx,18/2/16,Thursday,16,14
Bronx,1/5/16,Sunday,4,37
EWR,14/3/16,Monday,14,2
Bronx,21/4/16,Thursday,1,7
Bronx,25/1/16,Monday,5,15
Bronx,15/3/16,Tuesday,7,24
Bronx,29/4/16,Friday,8,13
Bronx,10/4/16,Sunday,22,7
Staten Island,13/5/16,Friday,12,2
Bronx,5/3/16,Saturday,15,12
Bronx,17/1/16,Sunday,2,32
EWR,6/6/16,Monday,17,3
Bronx,23/1/16,Saturday,0,25
Staten Island,13/6/16,Monday,14,3
EWR,27/1/16,Wednesday,14,5
Bronx,28/5/16,Saturday,10,8
EWR,23/5/16,Monday,9,1
EWR,16/4/16,Saturday,12,1
EWR,30/6/16,Thursday,15,5
Bronx,16/3/16,Wednesday,13,10
Bronx,19/4/16,Tuesday,13,5
Bronx,29/4/16,Friday,20,11
Bronx,26/5/16,Thursday,16,16
EWR,27/2/16,Saturday,5,1
Bronx,11/5/16,Wednesday,3,6
Bronx,11/3/16,Friday,2,16
Staten Island,20/1/16,Wednesday,8,2
Staten Island,19/1/16,Tuesday,9,2
Bronx,30/5/16,Monday,16,13
Bronx,18/1/16,Monday,3,4
EWR,18/5/16,Wednesday,8,1
Bronx,2/5/16,Monday,19,9
Staten Island,2/4/16,Saturday,11,3
EWR,28/2/16,Sunday,5,1
Bronx,31/3/16,Thursday,13,14
Bronx,18/3/16,Friday,10,8
EWR,8/4/16,Friday,15,3
EWR,12/2/16,Friday,15,1
Staten Island,4/2/16,Thursday,17,3
EWR,20/1/16,Wednesday,16,2
Bronx,5/4/16,Tuesday,16,19
Bronx,14/1/16,Thursday,9,10
Bronx,7/1/16,Thursday,20,8
Bronx,3/6/16,Friday,7,17
EWR,1/5/16,Sunday,7,1
EWR,16/5/16,Monday,18,1
EWR,24/6/16,Friday,16,3
EWR,3/1/16,Sunday,12,1
EWR,13/1/16,Wednesday,16,1
Bronx,24/1/16,Sunday,16,10
Bronx,27/1/16,Wednesday,16,5
EWR,6/6/16,Monday,18,1
EWR,17/4/16,Sunday,0,2
Bronx,2/4/16,Saturday,13,9
EWR,17/4/16,Sunday,8,4
Bronx,29/1/16,Friday,10,9
Bronx,10/6/16,Friday,13,9
Staten Island,15/4/16,Friday,9,2
Staten Island,26/3/16,Saturday,3,2
EWR,3/1/16,Sunday,17,2
Bronx,17/1/16,Sunday,6,9
Bronx,15/2/16,Monday,21,12
Bronx,24/6/16,Friday,16,11
Bronx,19/2/16,Friday,8,10
EWR,21/5/16,Saturday,20,3
EWR,18/1/16,Monday,12,2
Bronx,12/6/16,Sunday,16,17
EWR,11/6/16,Saturday,8,1
EWR,22/1/16,Friday,21,1
Bronx,15/3/16,Tuesday,20,4
Bronx,26/3/16,Saturday,20,19
Staten Island,24/3/16,Thursday,21,3
Bronx,27/6/16,Monday,13,5
EWR,27/3/16,Sunday,18,1
EWR,6/3/16,Sunday,20,5
Bronx,13/1/16,Wednesday,0,13
Bronx,6/3/16,Sunday,17,20
Bronx,6/4/16,Wednesday,17,19
Bronx,9/1/16,Saturday,7,11
Bronx,15/1/16,Friday,5,9
Staten Island,29/3/16,Tuesday,15,1
EWR,20/2/16,Saturday,15,1
Staten Island,5/5/16,Thursday,7,4
Bronx,21/2/16,Sunday,7,7
Bronx,28/1/16,Thursday,20,6
EWR,24/1/16,Sunday,11,1
Bronx,27/1/16,Wednesday,7,17
EWR,16/3/16,Wednesday,10,1
Bronx,20/2/16,Saturday,12,11
EWR,3/5/16,Tuesday,5,1
Staten Island,28/4/16,Thursday,17,1
Staten Island,30/3/16,Wednesday,7,3
EWR,24/4/16,Sunday,13,4
Bronx,2/6/16,Thursday,15,10
Bronx,12/1/16,Tuesday,21,7
Bronx,2/2/16,Tuesday,11,4
Bronx,8/4/16,Friday,23,14
EWR,15/1/16,Friday,15,5
Bronx,26/1/16,Tuesday,0,7
EWR,11/5/16,Wednesday,13,1
Bronx,5/1/16,Tuesday,4,9
Staten Island,21/6/16,Tuesday,9,3
EWR,1/1/16,Friday,18,1
Staten Island,16/6/16,Thursday,14,1
Staten Island,27/6/16,Monday,13,1
Bronx,3/4/16,Sunday,9,20
