pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
Brooklyn,2016-06-26,Sunday,2,987
Manhattan,2016-06-22,Wednesday,9,18017
Manhattan,2016-06-22,Wednesday,22,20777
Brooklyn,2016-06-25,Saturday,13,260
Manhattan,2016-06-25,Saturday,12,17742
Brooklyn,2016-06-23,Thursday,10,72
Queens,2016-06-20,Monday,3,141
Queens,2016-06-21,Tuesday,8,978
EWR,2016-06-23,Thursday,14,5
Brooklyn,2016-06-20,Monday,21,358
Manhattan,2016-06-25,Saturday,0,19202
EWR,2016-06-25,Saturday,2,1
EWR,2016-06-25,Saturday,14,3
Bronx,2016-06-22,Wednesday,20,13
Staten Island,2016-06-21,Tuesday,15,2
Bronx,2016-06-22,Wednesday,14,16
Bronx,2016-06-26,Sunday,1,23
Manhattan,2016-06-26,Sunday,13,14960
Bronx,2016-06-25,Saturday,13,16
Brooklyn,2016-06-20,Monday,20,260
Bronx,2016-06-24,Friday,17,21
Bronx,2016-06-21,Tuesday,7,8
Bronx,2016-06-23,Thursday,9,6
Queens,2016-06-23,Thursday,14,1244
Bronx,2016-06-21,Tuesday,4,5
Manhattan,2016-06-25,Saturday,21,18157
EWR,2016-06-26,Sunday,5,1
Brooklyn,2016-06-25,Saturday,16,192
Queens,2016-06-23,Thursday,7,1002
Manhattan,2016-06-20,Monday,7,14018
Queens,2016-06-22,Wednesday,14,1229
Bronx,2016-06-23,Thursday,7,12
Bronx,2016-06-20,Monday,7,19
Queens,2016-06-21,Tuesday,18,1032
Bronx,2016-06-26,Sunday,11,16
Brooklyn,2016-06-22,Wednesday,19,229
Queens,2016-06-20,Monday,15,1150
Bronx,2016-06-21,Tuesday,3,6
Manhattan,2016-06-21,Tuesday,13,16318
Queens,2016-06-20,Monday,1,363
Bronx,2016-06-21,Tuesday,19,9
EWR,2016-06-23,Thursday,15,2
Queens,2016-06-26,Sunday,21,1714
Bronx,2016-06-25,Saturday,22,17
Manhattan,2016-06-24,Friday,7,13754
Bronx,2016-06-21,Tuesday,13,6
Bronx,2016-06-24,Friday,13,9
Staten Island,2016-06-23,Thursday,13,1
